winner,feature,edges
0,"['Red', 'Blue', 'Red', 'Blue', 'Red', 'Blue', 'Red', 'Blue', 'Red']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Blue', 'Red', 'Blue', 'Red', 'Blue', 'Red', 'Red', 'Blue', 'Red']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
1,"['None', 'Red', 'Blue', 'Red', 'Blue', 'Red', 'Blue', 'Red', 'Blue']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Red', 'Blue', 'Red', 'Blue', 'Blue', 'Red', 'Red', 'Blue', 'Red']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Blue', 'Red', 'Blue', 'None', 'Red', 'Red', 'Blue', 'None', 'Red']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Blue', 'Blue', 'Red', 'Blue', 'Red', 'Red', 'Red', 'Red', 'Blue']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['None', 'Red', 'Blue', 'Red', 'Blue', 'Blue', 'Red', 'None', 'Red']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Blue', 'Red', 'Blue', 'Blue', 'Red', 'Red', 'Red', 'None', 'None']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Red', 'None', 'None', 'Red', 'None', 'None', 'Red', 'Blue', 'Blue']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
winner,feature,edges
0,"['Red', 'Blue', 'Red', 'Blue', 'Blue', 'Red', 'Blue', 'Red', 'Red']","[[3, 1], [0, 4, 3, 2], [1, 5, 4], [0, 1, 6, 4], [1, 2, 3, 7, 6, 5], [2, 4, 8, 7], [3, 4, 7], [4, 5, 6, 8], [5, 7]]"
